Document,Category
"I installed Windows for Workgroups on my network and I'm having problems 
mapping drives in the file-manager.

Situation:
If I put LASTDRIVE = Z in my config.sys, NETX will run but I can't access
drive f: to log in to Novell.  
If I don't put LASTDRIVE = Z in my config.sys I can't access other W4WG 
drives from the file-manager.

It seems that there should be a way to make NETX work with the LASTDRIVE = 
statement in my Config.Sys.

I would appreciate any help.  It's probably an easy problem that all you 
Windows guru's solved many many moons ago...

Thanks,
Tom Bilan
",2
"
   Newsgroups: sci.med
   Path: news.larc.nasa.gov!saimiri.primate.wisc.edu!sdd.hp.com!elroy.jpl.nasa.gov!swrinde!zaphod.mps.ohio-state.edu!howland.reston.ans.net!europa.eng.gtefsd.com!emory!athena!aisun3.ai.uga.edu!mcovingt
   From: mcovingt@aisun3.ai.uga.edu (Michael Covington)
   Sender: usenet@athena.cs.uga.edu
   Nntp-Posting-Host: aisun3.ai.uga.edu
   Organization: AI Programs, University of Georgia, Athens
   References: <PAULSON.93Apr19081647@cmb00.larc.nasa.gov> <116305@bu.edu> <C5uq9B.LrJ@toads.pgh.pa.us>
   Date: Fri, 23 Apr 1993 03:41:24 GMT
   Lines: 27

   >>
   >>Many of these cereals are corn-based. After your post I looked in the
   >>literature and located two articles that implicated corn (contains
   >>tryptophan) and seizures. The idea is that corn in the diet might
   >>potentiate an already existing or latent seizure disorder, not cause it.
   >>Check to see if the two Kellog cereals are corn based. I'd be interested.
   >
   >Years ago when I was an intern, an obese young woman was brought into
   >the ER comatose after having been reported to have grand mal seizures
   >why attending a ""corn festival"".  We pumped her stomach and obtained
   >what seemed like a couple of liters of corn, much of it intact kernals.  
   >After a few hours she woke up and was fine.  I was tempted to sign her out as
   >""acute corn intoxication.""
   >----------------------------------------------------------------------------
   >Gordon Banks  N3JXP      | ""Skepticism is the chastity of the intellect, and

   How about contaminants on the corn, e.g. aflatoxin???



   -- 
   :-  Michael A. Covington, Associate Research Scientist        :    *****
   :-  Artificial Intelligence Programs      mcovingt@ai.uga.edu :  *********
   :-  The University of Georgia              phone 706 542-0358 :   *  *  *
   :-  Athens, Georgia 30602-7415 U.S.A.     amateur radio N4TMI :  ** *** **  <><

What is aflatoxin?

Sharon",13
"It might pay to start looking at what this proposal might mean to a
police agency.  It just might be a bad idea for them, too.

OK, suppose the NY State Police want to tap a suspect's phone.  They
need a warrant, just like the old days.  But unlike the old days, they
now need to 

   (a) get two federal agencies to give them the two parts of
       the key.

Now, what happens if there's a tiff between the two escrow houses?
Posession/release of keys becomes a political bargaining chit.  State
and lower-level police agencies have to watch the big boys play politics,
while potentially good leads disappear, lives and property are lost,
statutes of limitations run out, etc.  Not to mention: a moderately
clever person who suspects the police are after her/him will be buying
new phones faster than tap requests can be processed.  Or using stolen
ones.  [Will the Turing Police come and arrest you for transmitting
without a dialing license?]

There's also bureacracy and security problems -- within each escrow house, 
how will requests for key disclosure be authenticated?  Put in enough
safeguards of the kind bureaucrats and activists feel comfortable with, and 
it might take a LONG time to get that key.  [Even when a request is approved, 
how is the key going to be disclosed?  Will it be encrypted by a Clipper-type
chip for transmission?  In a bureaucracy the size of the Federal
Government, with a databank of the necessary size, and data traffic of
the projected volume, there's going to be a lot of weak links.  How many of 
these kinds of problems will be open for public or ""expert"" scrutiny?]  

Furthermore, the Feds might be leery of handing completed keys around, 
even to State Police agencies: a trust and security issue.  This would be 
an especially acute issue if some other State's Police had mishandled a 
key, resulting in lawsuits, financial settlements, and political 
embarassment.  So, the Feds implement it this way:
 
   (b) some federal agency gets the keys, performs the tap, and
       turns the results over to the NY State Police.

But let's say Cuomo's been causing some problems over a Clinton
Aid-To-Urban-Areas proposal.  Or there just happens to be a turf war
going on between the State cops and the Justice department on a case.
Now, not only do we have the keys as a political chit, we have an
extra player in the game *and* we have the tap's tapes as another
bargaining chit.  Again, the State Police lose.

I understand that (legal) wiretaps are quite expensive to maintain. In
scenario (b), who pays the bill?",11
"I have a 42 yr old male friend, misdiagnosed as having
 osteopporosis for two years, who recently found out that his
 illness is the rare Gaucher's disease. 

Gaucher's disease symptoms include: brittle bones (he lost 9 
 inches off his hieght); enlarged liver and spleen; internal
 bleeding; and fatigue (all the time). The problem (in Type 1) is
 attributed to a genetic mutation where there is a lack of the
 enzyme glucocerebroside in macrophages so the cells swell up.
 This will eventually cause death.

Enyzme replacement therapy has been successfully developed and
 approved by the FDA in the last few years so that those patients
 administered with this drug (called Ceredase) report a remarkable
 improvement in their condition. Ceredase, which is manufactured
 by biotech biggy company--Genzyme--costs the patient $380,000
 per year. Gaucher's disease has justifyably been called ""the most
 expensive disease in the world"".

NEED INFO:
I have researched Gaucher's disease at the library but am relying
 on netlanders to provide me with any additional information:
**news, stories, reports
**people you know with this disease
**ideas, articles about Genzyme Corp, how to get a hold of
   enough money to buy some, programs available to help with
   costs.
**Basically ANY HELP YOU CAN OFFER

Thanks so very much!",13
"Here is the MacWeek article describing the DUO ram situation.
(w/o permission.  I hope that is ok)

Jose

Bad RAM brings some Duos down. (random access memory boards for Apple
Macintosh PowerBook Duos) 
MacWEEK v7, n7 (Feb 15, 1993):132.

COPYRIGHT Coastal Associates Publishing L.P. 1993

By Raines Cohen

     Austin, Texas - Some third-party memory-expansion cards for PowerBook
Duos depart from Apple specs in ways that could cause crashes, data loss
and other problems.

     Technology Works Inc., a RAM and network vendor based here, last week
issued a warning about three problems it said it had found in Duo RAM
products from some competing vendors, which it declined to identify.
Other vendors and an Apple spokeswoman confirmed that the problems exist.

     > Self-refresh.  The Duos require a kind of dynamic RAM called
selfrefreshing, which can recharge itself while the system sleeps.  But
Technology Works said some vendors have sold Duo cards with
nonselfrefreshing DRAM, which can cause the system to lose data or fail to
wake from sleep.

     Most leading memory manufacturers include the letter V in the part
number stamped on their self-refreshing chips; nonself-refreshing chips
instead have an L, according to TechWorks.  The chip label, however, may
not tell the whole story.  Newer Technology of Wichita, Kan., said it uses
nonself-refreshing chips but adds its own circuitry to keep them refreshed
while the Duo sleeps.

     > Speed.  Some RAM-card vendors have put 80-nanosecond DRAM on Duo
cards rather than the 70-nanosecond type the 230 requires, Technology
Works said.  However, some chips labeled as 80- or 85-nanosecond are
certified by the manufacturer to run at a higher speed.

     Kingston Technology Corp. of Fountain Valley, Calif., said it offers
Duo RAM cards with 80-nanosecond chips, but only for the Duo 210, which is
compatible with the slower chips.

     > Space.  Technology Works charged and Apple officials confirmed that
some third-party cards are too large to fit properly, forcing the corner
of the Duo keyboard up and preventing the system from starting up normally
when in a Duo Dock.",4
"A lot of teams carry 3 catchers on their 25 man roster,
but the 3rd catcher is seldom ever used.  He is only
insurance in case of extra innings or the 2nd catcher
is injured during a game.     So to free up this roster
spot for an extra pinch hitter or reliever, why not
invoke a catcher re-substitution rule:

If the last roster catcher on a team is
injured during a game, the team is permitted
to substitute in his place for defensive purposes
a catcher who has previously been yanked from
the game.   

Given this rule, a team wouldn't need 3 roster
catchers.  The 3rd catcher could be playing
in AAA or be a non-roster bullpen catcher.",9
"-> I am looking for source-code for the radiosity-method.

 I don't know what kind of machine you want it for, but the program
Radiance comes with 'C' source code - I don't have ftp access so I
couldn't tell you where to get it via that way.",1
"

The Bible does tell us that governments are ordained by God (Romans 13).
 And furthermore, God foreknows everything that would happen.  It is
just to difficult for humans to graps with our limited minds, the
inevitablity of the sucess of God's plan, and this is especially hard to
grasp when we see governemnts doing evil.  However, though they are
doing evil (and we should not cooperate with them when they do such), it
must be understood that what happens is what God wanted so as to lead to
the final sucess of His plan to save as many souls from hell as is
possible.  In short, the slaughter in Bosnia, though deplorable in the
eyes of God (maybe, then again, they might be getting their just deserts
now rather than later; there are plenty of examples of God killing
people for their sins - Onan in the Old Testmament for example, and
Annias and Spahira in the New) is what he willed to happen so that His
plan might be accomplished.
    But don't forget, it is not unbiblical for God to use one nation to
execute His just judgement upon another.  The Romans were used to
fulfill the chorus of ""Let his blood be upon our hands"" of the crowd in
Jersualem.  And Chaldea was chastised by Babylon, which got Israel,
which was inturn gotten by Persia, etc.  God does use nations to punish
other nations, as the Bible very clearly shows in the Old Testament. 
Don't you remember the words of God recorded in Daniel, ""Mene, mene,
tekel, peres?""  Babylon had been weighed in the balance scales of God's
justice, found severly wanting, and was thus given over to the Persians
as their due punishment for their rebellion.  Another exammple is the
extirmination of the Cannanites, ordered by God as the task of Israel. 
The Cannanites had been given their chance, found severly wanting, and
the Great Judge, carried out His just sentence accrodingly.  I could go
on with more examples, but I see little need to do so, as my point is
quite clear.
Two things need to be remembered at all times. 1) It is not up to us to
question why God has ordered the world as He has.  In His divine Wisdom,
He made the world as was best in His eyes, and like Paul says in Romans
9, the clay is not one to tlak back to the potter.  2) The message of
Jesus Christ is as follows: ""Repent now, for the Kingdom of Heaven is at
hand.""  Jesus Christ did not allow any time for dilly-dallying - ""Let
the dead bury the dead, come, follow me.""  There is not an infinite
amount of time, rather Christ is passing by right now, calling people to
follow Him and become fishers of men.  He does not say, ""well, alright,
you can call me back in a week and see if my Kingdom fits in with your
plans.""  He said ""Follow me.""  His message is NOT ""I'm just a sweety-pie
who would never hurt a fly, you've got all the time in the world, and
Divine Judgement, that's only a fairy tale.""  ""Our great God and Savior""
Jesus Christ (Titus 2.5) is also the just and righteous Judge of the
world.  And it is not up to the defendants in the trial to be
questioning his entirely just sentences of either chastisement or mercy.",15
"I am looking for a source for a 4 circuit Sequence flasher.

Input 24 Volts AC, 8 amps

Output: sequence to 4 channels (knob to vary frequency) (max 2 amps 
	per leg)
	Switch to put all channels on full time

Please Email any assistance you can provide.

Randy 			Email:  randy@ve6bc.ampr.ab.ca",12
"

Well people fortunatly or unfortunatly ,
only the US is experiencing the devaluation of human life (among 
developed nations).

I am an American but I was raised in Europe, where the worst thing that 
can happen to somebody is get his car broken into, or have his pocket
picked by Slaves or Russian refugees.

Of cource there will be some nutcases, but thats extremely rare.

I.e. in Greece you can walk through any neighborhood at any time during
the night without even worrying.

In Germany , you can walk the sidewalks at 4.00 am and not even look 
behind your back, at the sanitation crews that clean the streets to a 
sparkling cleen.

Whoever of you have been there you know what I am saying.

I dont have any easy answers but if we as a nation do some selfcritisism
we might get somewhere.

Of course these postings sould be in soc.culture.US but if we reduce
crime here it 'll mean less car insurance rates ,thus we could spend
more money on modifing our cars. (Now my posting is rec.autos.tech 
revelant).

Vlasis  Theodore

___________________
Software Engineer
IDB Mobile Communications.",7
"
I would suggest Draw for Windows (by Micrografx).  I have this on my
home box.  Its quite impressive and only cost UKL100.  It has a rather
nice clip-art library facility which you can expand with your own
drawings.  There is no circuit component clip-art included, but you
could add your own quite easily.

It works with any Windows printer driver of course, and can also
export embedded postscript and PCX files.

Note: I am not connected with Micrografx in any way.

Paul.",12
"
   Watch out.  Often when some scumbag steals the cover, that means
   that they were or are looking to steal the bike.  In my case, I
   had a faded cover stolen off a bmw R100RS that was stashed in an
   apartment carport and not visible from the street.  They evidently
   decided the beemer wasn't worth stealing, but did try the next night to
   steal a Honda Hurricane 600 parked in the next apartment building.
   A neighbor heard them wheeling it out and called the cops.


I know this is just setting myself up, but this is actually one of the
things that is really good about BMW bikes.  From all accounts I've
heard practically no one steals BMWs. Probably it is similar for Moto
Guzzis and other relative ""exotics"" since there isn't a large demand
for parts and the bike would be much easier to track down. It seems
that the most stolen bikes are Harleys and 600cc Jap sport bikes. 
",8
"
Confident, or merely crazed?  That desert sun :-)



Gee, I thought the X-15 was Cable controlled.  Didn't one of them have a
total electrical failure in flight?  Was there machanical backup systems?


What do you mean?  Overstress the wings,  and they fail at teh joints?

You'll have to enlighten us in the hinterlands.
",14
"

The magnets are huge!  Good MRI sets with big (>1.5 Tesla) magnets
cost millions of dollars.  Then, the radiologist wants $400 for
reading each scan.

-- 
----------------------------------------------------------------------------
Gordon Banks  N3JXP      | ""Skepticism is the chastity of the intellect, and
geb@cadre.dsl.pitt.edu   |  it is shameful to surrender it too soon."" ",13
"


As I recall, in the 60's the Kennedy Administration had sub-kiloton
nuclear weapons withdrawn from Europe and destroyed.  They were man-
portable and made for use in shoulder-mount rocket launchers.  The
smallest nuclear test I've seen data for was a .1 (yes, one-tenth)
kiloton weapon tested either in the late 40's or early 50's.",16
"  You can try defraging your disk more often. It definitely will
 help speed things up. A 2 megs smartdrv is also a good idea with
 the amount of memory you have, and use fastdisk (32bit access) if
 you not already. Hope that help..",2
"

Well, you might try the A.R.R.L.'s license study guides. For example, my
Advanced Class study guide has lots and lots of good RF and electronics
theory in it. I would imagine the other books are good too.

Tony

-----------------------------------------------------------------------
-- Anthony S. Pelliccio, kd1nr/ae    // Yes, you read it right, the  //
-- system @ garlic.sbs.com          // man who went from No-Code    //
-----------------------------------// (Thhhppptt!) to Extra in     //
-- Flame Retardent Sysadmin       // exactly one year!            //
-------------------------------------------------------------------
-- This is a calm .sig! --",12
"briefly, since i'm off to sleep.

mle's work pretty well for AA nd AAA players.

players who are 22 and younger will tend to have explosions
 in their numbers, whether mMLE's or not, in the next 2 years...

players who are 26 and OLDER, at those levels, generally have
 inflated MLE's.

they're about as reliable as having major league stats for a player.",9
"
Let's see, if Alexander destroyed Tyre, and people move back, and
they construct houses, and after a while 14000 people live there
and still call it Tyre, it is not considered to be rebuilt. Instead
it's considered to be 'just-some-people-that-got-together-for-fishing-
and-they-needed-houses' place.


Sigh, I was never born in a city then (my home town has 10.000
people). I have to consult my city and inform them that it's from
now a fishing village. When this city (Kristinestad) was founded
in the 17:th century about 1000 people lived there, so the norms
were even more bizarre for dumb Swedish queens who founded cities
along the coast of Finland.

I would like to know why Paul thought is was worth mentioning the 
small fishing place of Tyre in Acts. Again, maybe he was a keen
fisherman and wanted to visit the shores of Tyre? :-)

Cheers,
Kent",19
"Inguiry by address:er1@eridan.chuvashia.su
",6
"I am having problems with a  Motif application that when run on another machine
(with different X paths, etc) can't find the XKeysymDB file.   This causes a large
warning output:

Warning: translation table syntax error: Unknown keysym name: osfActivate
Warning: ... found while parsing '<Key>osfActivate:ManagerParentActivate()'
Warning: translation table syntax error: Unknown keysym name: osfCancel
Warning: ... found while parsing '<Key>osfCancel:ManagerParentCancel()'
Warning: translation table syntax error: Unknown keysym name: osfSelect
Warning: ... found while parsing '<Key>osfSelect:ManagerGadgetSelect()'
...
....
....
etc.

as the file is in a different location, but Xt seems to only look for it in
the place where it is on the machine the app was compiled on.  Is there any
way to read the XKeysymDB manually with an X/Xt call so that additions to
the XKeysymDB can be distributed with the application ?  I have used trace(1)
to find out what was going on, but I need a fix so that these translations in
the application can be recognised.",5
"    >It is very difficult for a young person to develop and build
    >a positive view of themself when they are constantly being
    >told implicitly and explicitly that they are wrong and
    >immoral.

Yes, that is most certainly true. However, the paragrapgh reflects a value-less
position and infers that what is more important than anything else is to
have ""a positive view"" of one's self.

This of course, is foolish.

Should a mass murderer, a pedophile, a 10-year old pyromaniac have a ""positive
view"" of themselves?

Of course not.

A person that engages in behaviour that a large number of people condemn,
and IF you believe in the concept of ""society"", then your only choice is
to expect that person to have a negative view of themselves.


-- 
There are actually people that STILL believe Love Canal was some kind of
environmental disaster. Weird, eh?",18
"

I'd go for a '39 Lincoln Continental if I could find one. Sad part is
that Edsel Ford designed it, and look at the abortion they named after
him. Ain't no justice.
",7
"
Link with '-lm' (math library).


This is a bug in Sun's shared libraries. Linking with
'-assert nodefinitions' should do the trick.",5
"# # ""labor"" is a tough one. Labor is defined, economically, as the efforts,
# # both mental and physical, of humans. Capital is defined as intermediate
# # goods used to create other goods and services. Now, if a slave is considered
# # an intermediate good, then the slave has now been dehumanized and is 
# # simply a machine. Not good for the anti-slave (i.e. pro-human rights) 
# # argument. So, slaves are humans, and they produce labor. 
# 
# Sorry.  The question of defining slave ""labor"" is no ""tough(er)"" than 
# defining the ""labor"" of a horse, an ox, or any other livestock.  Both
# legally and economically in a slave-economy, ""slaves are (NOT) humans,""  
# they are livestock.

Can you provide some evidence that the slave states regarded slaves as
not humans?  They were ""outside our society"" and similar phrases that
basically meant that they didn't have to recognized as having the same
rights as a free person, but they were never considered ""not human"" to
my knowledge.

# Like a horse that pulls a plow, a slave's ""labor"" is the return on the
# capital required to purchase and feed him.  The parallel is so obvious
# I'm not sure how you missed it.  After all, its was the ""liberty"" to 
# use their ""property"" as they saw fit that motivated Southern planters
# to emphasize the importance of ""states' rights.""

If that were the case, the slave states would not have passed so many
laws that restricted the freedom of slave owners to do as they wished
with their property.  Examples: laws prohibiting manumission without
legislative grant; laws prohibiting teaching slaves to read & write.

# #Craig.
# Steve Hendricks                        |  DOMAIN:  steveh@thor.ISC-BR.COM   ",18
"





	Alan, you can start by teaching your children that the perpetrators
of crimes no more represent the ""Black community"" than racist hateful Whites
represent the majority culture (although there are many ethnic minorities
who have fallen into the very trap that you are struggling with, and believe
otherwise). The trap is the easy way out.
	For yourself, I think it would be a good idea to realize that the
demographics related to the crimes you speak of have less to do with race,
and much to do with socioeconomic status and disenfranchisement. You're
going to find higher crime within *any* community comprised of *any* ethnic
group or subgroup that has become dysfunctional, whatever the factors
leading to that dysfunction. With ethnic minorities it is more usually than
not, as I said, socioeconomic disenfranchisement.
	If, for example, you lived in an area where there were very few
Blacks, but quite a few poor-for-generations Whites, you'd see the crime
statistics reflecting the dysfunction of those White people. Would you then
worry about whther your children would begin to see Whites as undesireable
or whatever? The trap springs into action when our innate compunction to
define ""us"" and ""other"" raises its little voice. The trap becomes dangerous
when we stop to listen to that little voice and stop thinking like rational
humans.
	It's interesting that Blacks are traditionally seen as *the* or the
*most* criminal element in many of our urban areas. I don't know the racial
makeup of Phoenix, so I can't speak to your situation. However, I live in
San Francisco, a city that loves to tout its ""ethnic diversity"". Here, we
have Black gangs, Hispanic gangs, Asian (yes, the ""model minority"") gangs,
and even a few White gangs. The Asian gangs have become a particularly
troublesome element for law enforcement here, mainly due (I think) to their
propensity for engaging in organized criminal activities. But ask people on
the street and they'll, 8-out-of-10 times, tell you that Black gangs and
crime are what they most fear. During the ""disturbance"" in Los Angeles last
year many of the rioters and looters were not Black. Some were even White! I
remember being amazed at  television news scenes that showed looting mobs
where there were maybe one or two Blacks at most! My perceptions, gleaned
from TV news, were further corroborated by numerous friends and relatives
that live in Los Angeles. This may have been the country's first truly
multi-ethnic riot. Yet I know from face-to-face and online discussion that
in the minds of America the popular perception is that it was a *Black*
riot!
	In closing, I'd like to say that you raise some interesting points
that really need discussion. Our country has spent too long ignoring the
racism (and its attendant ills) that is very much a part of our culture. As
a people, we are afraid to face up to some hurtful truths, and the problem
becomes compounded *daily*. We cannot afford to do it much longer. I truly
believe that the  well-being of ALL OF US depends on changing our current
course of denial and repression.
	I wish you and your children, and all other people, of *all* colors,
luck in avoiding the ""trap"". 
	Peace, my brother.
			m.
-- 


",18
"I am a Mac-user when it comes to graphics (that's what I own software and hardware for) and
I've recently come across a large number of TTTDDD format modeling databases.  Is there any
software, mac or unix, for translating those to something I could use, like DXF?  Please
reply via email.",1
"Eric (""Damien""?) was presenting his views on Christianity; I'll
respond to a few of his points:


This is certainly a valid objection to religion-as-explanation-of-
nature.  

Fortunately for the convenience of us believers, there is a class of
questions that can never be reduced away by natural science.  For
example: why does the universe exist at all?  After all, the time-space
world didn't have to exist.  Why does *anything* exist? And: is it
possible for persons (e.g. man) to come into being out of a purely
impersonal cosmos?  These questions which look at the real mysteries of
life -- the creation of the world and of persons -- provide a permanent
indicator that the meaning of life in the material world can only be
found *outside* that world, in its Source.



When you say that man is *only* an animal, I have to think that you are
presenting an unprovable statement -- a dogma, if you will.  And one
the requires a kind of ""faith"" too.   By taking such a hard line in
your atheism, you may have stumbled into a religion of your own.

But before you write off all Christianity as phony and shallow, I hope
you'll do a little research into its history and varieties, perhaps by
reading Paul Johnson's ""A History of Christianity"".  From your remarks,
it seems that you have been exposed to certain types of Christian
religion and not others.  Even an atheist should have enough faith in
Man to know that a movement of 2000 years has to have some depth, and
be animated by some enduring values.

With best wishes,",15
"I saw once an article about a new line of Macs configured to	
work more optimally as file servers. 	
Anyone know any more details?
",4
,12
"



I would just like to point out that it is much easier to place an
object at orbital altitude than it is to place it with orbital
velocity.  For a target 300 km above the surface of Earth,
you need a delta-v of 2.5 km/s.  Assuming that rockets with specific
impulses of 300 seconds are easy to produce, a rocket with a dry
weight of 50 kg would require only about 65 kg of fuel+oxidizer.
A small dispersal charge embedded in about 20 kg of sand or
birdshot (depending on the nature of the structure) would be
the payload.  I am sure the whole project is well within
the capability of the amateur rocketry community.

It sounds like a good Science Fair project--'Reduction
of Light Pollution Through Applied Ballistics'.
Or, it could be part of the Challenge Prize being discussed
here: $1 billion for the first person to spend 1 year
on the moon, $1 million for the first erradication of
an orbital eyesore/CCD burner.  I wouldpledge $1000
for the first person to bring it down, and I am sure
there are at least 999 other astronomers, nature lovers,
or just plain people of good taste who would do likewise.

Of course, a  Gerald Bull solution might be simpler.
(Either the solution Gerald Bull would apply--the use
of a large caliber gun; or the solution which was applied
to Gerald Bull--the use of a small caliber gun.)",14
"Hi Folks,

   Does anyone have a copy of Playmation they'd be willing to sell me.  I'd 
love to try it out, but not for the retail $$$.  If you have moved onto 
something bigger (3DS) or better (Imagine), I'd love to buy your table scraps.

   If noone is selling, can anyone recommend a place to buy Playmation 
mail-order for cheap?  

   Thanks in advance,

   Mark



-- ",1
"
There's only one physical size for VRAM SIMMs (unlike DRAM SIMMs which 
come in many, many sizes and pinouts), although they do come with 
differing amounts of VRAM on them.  The ones you need are 256KB SIMMs, are 
organized as 128K x 16, and have two 128K x 8 VRAM chips on them.  This is 
the only size which the Quadra and Centris machines can use.


Two.


Both SIMM slots must be filled; putting a SIMM in only one slot does 
nothing for you.


80 ns for the Q800 and C650, 100 ns for the C610.


There are certain VRAM chip manufacturers whose parts are not compatible 
with the Quadra and Centris video hardware.  Make sure that the source you 
get them from guarantees compatiblity.  In general, if it works in a Q950,
it will work in a Q800.


Trust me.  ;-)",4
"

In four replies, I've seen no hard numbers, so here goes:  For traces
on the outside (not inner layers), expect, in 1 oz copper, at 15 amps,
the following temperature rises versus width.  This is from Sams'
""Reference Data for Engineers,"" seventh edition, Pg 5-30, which claims
in turn to be from MIL-STD-275C...

    width   Temp rise
    inches  degrees C
    ------  ---------
     .125	100
     .15	 75
     .17	 60
     .20	 45
     .24	 30
     .33	 20

At 10 amps, the rise for the .125 width is only about 30 degrees.
Power goes as square of the current, plus the copper resistance goes
up as temperature goes up...  Certainly .20"" (~5mm) traces should be 
ample for what you want to do.  And 2 ounce copper almost cuts the 
required width in half.  (I'd do 2 oz at about 0.08"" width myself, 
I think...given that the _rated_ current is 10 amps and the 15 is
a transient or fault condition.)",12
"
	Then they'll probably also want to start tracking the customer
lists of people purchasing SoundBlaster and similar boards, which can
be configured with the use of some code and a modem, to act as a pretty
decent digital-encrypting telephone. It's expensive, though, and kind
of awkward. I don't know any drug lords, but I'm sure they'd favor
something tappable over something secure as long as the user interface
is nice.

	When you've got HRH Prince of Wales saying stupid things over
cordless phones, it's not hard to imagine that drug dealers, child
pornographers, commies, LISP programmers, and other threats to the
civilized world might transact incriminating business over ""encrypting""
cellular phones.
",11
"I AM Satan!

",15
"
Yes, it is -- you could look it up.  And spare us the thin-skinned
indignation, please; what's sauce for four years of using George Herbert
Walker Bush and J. Danforth Quayle as an insult is sauce for William
Jefferson Blythe Clinton.  Do you feel that calling a President by his full 
name implies some sort of disrespect?  Hint: this is a rhetorical question.

------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ 

Paul Havemann   (Internet: paul@hsh.com)",18
"A posting in another news group I read a while ago said that 
PC-Xview and PC-Xremote allow you to use Xterm.  
Call NCD @ 503-641-2200 for more info. 

Hope it helps,

-Hao
-- 
---------------------------------------------------------------------
 Hao Zhang, Dept. of Stat., Wharton School, Univ. of Penn.
 zhang48@wharton.upenn.edu    hzhang@compstat.wharton.upenn.edu",2
"Finally got my computer fixed and I'd like to sum up.

About hard drive companies: the original 160 meg drive that was bad (bad
sector or something) was an IBM.  The new one is a Quantum.  Is the LCIII
supposed to be shipped with IBMs?  Is there a quality difference? 
Apparently! :)

Second, about hard drive position.  I've put the LCIII on its side and
the new 160 HD has had no problems at all.  I've even switched back and
forth between horizontal and vertical and there are no problems.  As far
as I'm concerned I don't believe HD position is important for drives up
to 160 meg, in any computer.  Don't know about CD-ROM, though.


	""Just like everything else in life, the right lane ends in half a mile.""",4
"
Chelios is by far the MVP on Chicago...


Manson, by his own admission, had a terrible year...the Oilers
don't really have a team MVP...by default, it should go to Craig
MacTavish.  Shjon Podein was the biggest surprise...Tikkanen the
biggest disappointment.


Tinordi was back by mid-season last year...and when he plays he is the MVP.


King had a great year last year also.


How can Kovalev be a surprise?


Fence-sitting...look at Philly's record with Eric and without...
there is no doubt.  Soderstrom is probably the biggest surprise.


Tocchet had a near 100 point season in Philly with Mike Bullard as
his center...why shouldn't he be able to do that with Mario?


Really Joseph deserves the MVP nod.
",10
"Clipper Chip is a response to the fact that there is no business
or professional body in a position to establish a standard and
provide chipsets to implement it for analog or digial transmission
systems.

RSA might be in position to do it, if they had active cooperation of
a couple of manufacturers of cellular phones or desktop phones.

Large companies in the voice/data comm business are out, because they
all have contracts with the gov which would be used to pressure them.

If we, as professionals in crypto organizations, EFF, etc. were to
put our collective minds and interests toward establishing a
crypto standard for transmission, and getting our companies to
implement it, we might avoid government control.

Otherwise, I think it will happen to us by default.  Gov isn't probably
strong enough or foolish enough to prevent strong crypt.  They
are strong enough, and we may be foolish enough, to push through
the Clipper Chip.

Is RSA independt of the gov enough to spearhead this?  I, for one,
would *gladly* pay royalties via purchasing secure phones.

If not this, we should provide an algorithm which can be implemented
in either SW or HW and publish it, then push to make it the defacto
standard in the way that PGP and RIPEM are becoming such.

We are opposing, charging the bunker.  We should be nimble and clever.
The gov is strong, not clever.

Lew",11
"
Ok, but have you seen Tabaracci play yet?  In his two starts and
his relief effort for Beaupre, he has looked mighty sharp - don't
forget the shutout.  I think he's let in just four goals over eight
periods of play.  I like Hrivnak, but we might actually have to give
some credit to David Poile for a change after this trade.

Hopefully if Tabaracci starts against the Isles tonight, I haven't
jinxed him.",10
"Is there anyone out there in NetLand that has/has had one of these?


Can someone give me a non-Consumer Reports review (or point me to a source) ???


Thanks
Scott

-----------------------
sdexter@ucrengr.ucr.edu
	Computer Science Undergraduate,
	University of California, Riverside
	Internet :  138.23.166.21

sdexter@technet1.shl.com       
  	 Facilities Engineer,
	 SHL SystemHouse, Inc. ,Technology Network
         Internet : 192.75.61.2",7
"*****************************************************************
*                                                               *
*                        MONSTER RALLY!!                        *
*          ==  For the Right to Own and Carry Weapons ==        *
*                                                               *
*    TOMORROW, Sunday, April 18, 1993, from 1:00 to 3:30 p.m.,  *
*       the Denver LIBERTARIAN PARTY will sponsor a rally       *
*              AT THE STATE CAPITOL in support of               *
*         the individual right to own and carry weapons.        *
*                                                               *
* Speakers will include former Colorado deputy attorney general *
*  DAVID KOPEL, radio host KEN HAMBLIN, DLP Chair DAVID SEGAL,  *
* pistol instructor LENDA JACKSON, and novelist L. NEIL SMITH.  *
*                                                               *
* Your presence and participation are highly welcome.  For more *
*       information call David Segal at (303) 296-4059.         *
*                                                               *
*****************************************************************

Cathy Smith",16
"this must be a FAQ from the very first days of the 13""RGB!!!!",4
"
And Noemi makes me think of ""cuddle"", not ""KotL"".",8
